batteryId,occupant,isMisplaced,createdAt,updatedAt,deletedAt
B749818,P4018,FALSE,2026-01-30 17:47:24,2026-01-30 17:47:24,null
B748862,P4018,FALSE,2026-01-30 17:47:24,2026-01-30 17:47:24,null
B746846,D121604,FALSE,2026-01-30 17:47:24,2026-01-30 17:47:24,null
B744549,D121604,FALSE,2026-01-30 17:47:24,2026-01-30 17:47:24,null
B810311,P0463,FALSE,2026-01-30 17:47:32,2026-01-30 17:47:32,null
B765718,D101246,FALSE,2026-01-30 17:47:32,2026-01-30 17:47:32,null
B696334,D101246,FALSE,2026-01-30 17:47:32,2026-01-30 17:47:32,null
B810433,P0463,FALSE,2026-01-30 17:47:32,2026-01-30 17:47:32,null
B555268,P1104,FALSE,2026-01-30 17:47:46,2026-01-30 17:47:46,null
B730819,D221173,FALSE,2026-01-30 17:47:46,2026-01-30 17:47:48,null
B643138,P4834,FALSE,2026-01-30 17:47:51,2026-01-30 17:47:51,null
B581908,D135225,TRUE,2026-01-30 17:47:51,2026-01-30 17:47:51,null
B851908,P4834,FALSE,2026-01-30 17:47:51,2026-01-30 17:47:51,null
B803001,D135225,FALSE,2026-01-30 17:47:51,2026-01-30 17:47:51,null
B694223,D135225,FALSE,2026-01-30 17:47:51,2026-01-30 17:47:51,null
B897687,P4222,FALSE,2026-01-30 17:47:54,2026-01-30 17:47:54,null
B544841,P4222,FALSE,2026-01-30 17:47:54,2026-01-30 17:47:54,null
B288606,D118466,FALSE,2026-01-30 17:47:54,2026-01-30 17:47:54,null
B899002,D118466,FALSE,2026-01-30 17:47:54,2026-01-30 17:47:54,null
B404463,P1641,FALSE,2026-01-30 17:48:03,2026-01-30 17:48:03,null
B690893,D157916,FALSE,2026-01-30 17:48:03,2026-01-30 17:48:03,null
B593942,P1641,FALSE,2026-01-30 17:48:03,2026-01-30 17:48:03,null
B537438,D157916,FALSE,2026-01-30 17:48:03,2026-01-30 17:48:03,null
B369909,D8392,TRUE,2026-01-30 17:48:04,2026-01-30 17:48:04,null
B443705,P4564,FALSE,2026-01-30 17:48:04,2026-01-30 17:48:04,null
B544852,P4564,FALSE,2026-01-30 17:48:04,2026-01-30 17:48:04,null
B500746,D8392,TRUE,2026-01-30 17:48:04,2026-01-30 17:48:04,null
B545416,D8392,FALSE,2026-01-30 17:48:04,2026-01-30 17:48:04,null
B674672,D8392,FALSE,2026-01-30 17:48:04,2026-01-30 17:48:04,null
B579297,P4028,FALSE,2026-01-30 17:48:24,2026-01-30 17:48:24,null
B583262,P4028,FALSE,2026-01-30 17:48:24,2026-01-30 17:48:24,null
B582480,D134473,FALSE,2026-01-30 17:48:24,2026-01-30 17:48:24,null
B655160,D134473,FALSE,2026-01-30 17:48:24,2026-01-30 17:48:24,null
B539391,P4873,FALSE,2026-01-30 17:48:25,2026-01-30 17:48:25,null
B655307,P4873,FALSE,2026-01-30 17:48:25,2026-01-30 17:48:25,null
B765188,D86389,FALSE,2026-01-30 17:48:25,2026-01-30 17:48:25,null
B696142,D86389,FALSE,2026-01-30 17:48:25,2026-01-30 17:48:25,null
B675977,P3242,FALSE,2026-01-30 17:48:26,2026-01-30 17:48:26,null
B424893,D221179,FALSE,2026-01-30 17:48:26,2026-01-30 17:48:26,null
B542300,P1473,FALSE,2026-01-30 17:48:35,2026-01-30 17:48:35,null
B583439,P1473,FALSE,2026-01-30 17:48:35,2026-01-30 17:48:35,null
B543170,D192833,FALSE,2026-01-30 17:48:35,2026-01-30 17:48:35,null
B645102,D192833,FALSE,2026-01-30 17:48:35,2026-01-30 17:48:35,null
B654025,P3888,FALSE,2026-01-30 17:48:39,2026-01-30 17:48:39,null
B637945,D196644,FALSE,2026-01-30 17:48:39,2026-01-30 17:48:39,null
B805900,P3888,FALSE,2026-01-30 17:48:39,2026-01-30 17:48:39,null
B690736,D196644,FALSE,2026-01-30 17:48:39,2026-01-30 17:48:39,null
B746835,P4470,FALSE,2026-01-30 17:48:42,2026-01-30 17:48:42,null
B761437,P4470,FALSE,2026-01-30 17:48:42,2026-01-30 17:48:42,null
B586534,D102779,FALSE,2026-01-30 17:48:42,2026-01-30 17:48:42,null
B733864,D102779,FALSE,2026-01-30 17:48:42,2026-01-30 17:48:42,null
B739585,P2386,FALSE,2026-01-30 17:48:45,2026-01-30 17:48:45,null
B674702,D180444,FALSE,2026-01-30 17:48:45,2026-01-30 17:48:45,null
B897889,D180444,FALSE,2026-01-30 17:48:45,2026-01-30 17:48:45,null
B402190,P2386,FALSE,2026-01-30 17:48:45,2026-01-30 17:48:45,null
B773147,P4834,FALSE,2026-01-30 17:48:46,2026-01-30 17:48:46,null
B655400,D231559,FALSE,2026-01-30 17:48:46,2026-01-30 17:48:46,null
B817741,P1641,FALSE,2026-01-30 17:49:31,2026-01-30 17:49:31,null
B818148,P1641,FALSE,2026-01-30 17:49:31,2026-01-30 17:49:31,null
B517321,D106260,FALSE,2026-01-30 17:49:31,2026-01-30 17:49:31,null
B922052,D106260,FALSE,2026-01-30 17:49:31,2026-01-30 17:49:31,null
B702537,D146004,TRUE,2026-01-30 17:50:07,2026-01-30 17:50:07,null
B800676,P1485,FALSE,2026-01-30 17:50:07,2026-01-30 17:50:07,null
B463635,D146004,FALSE,2026-01-30 17:50:07,2026-01-30 17:50:07,null
B736660,D17473,TRUE,2026-01-30 17:50:14,2026-01-30 17:50:14,null
B733717,P1087,FALSE,2026-01-30 17:50:14,2026-01-30 17:50:14,null
B897640,D17473,FALSE,2026-01-30 17:50:14,2026-01-30 17:50:14,null
B397620,P1087,FALSE,2026-01-30 17:50:14,2026-01-30 17:50:14,null
B667497,D17473,FALSE,2026-01-30 17:50:14,2026-01-30 17:50:14,null
B612878,P3242,FALSE,2026-01-30 17:50:45,2026-01-30 17:50:45,null
B618979,D81591,FALSE,2026-01-30 17:50:45,2026-01-30 17:50:45,null
B756273,P4007,FALSE,2026-01-30 17:50:58,2026-01-30 17:50:58,null
B739808,P4007,FALSE,2026-01-30 17:50:58,2026-01-30 17:50:58,null
B921111,D111386,FALSE,2026-01-30 17:50:58,2026-01-30 17:50:58,null
B735768,D111386,FALSE,2026-01-30 17:50:58,2026-01-30 17:50:58,null
B516321,D81662,TRUE,2026-01-30 17:51:01,2026-01-30 17:51:01,null
B921984,P1485,FALSE,2026-01-30 17:51:01,2026-01-30 17:51:01,null
B589877,D81662,FALSE,2026-01-30 17:51:01,2026-01-30 17:51:01,null
B810448,P0921,FALSE,2026-01-30 17:51:23,2026-01-30 17:51:23,null
B635933,P0921,FALSE,2026-01-30 17:51:23,2026-01-30 17:51:23,null
B527985,D29159,FALSE,2026-01-30 17:51:23,2026-01-30 17:51:23,null
B717185,D29159,FALSE,2026-01-30 17:51:23,2026-01-30 17:51:23,null
B436368,D63460,TRUE,2026-01-30 17:51:45,2026-01-30 17:51:45,null
B463268,D63460,TRUE,2026-01-30 17:51:45,2026-01-30 17:51:45,null
B715034,P3765,FALSE,2026-01-30 17:51:45,2026-01-30 17:51:45,null
B847377,D63460,FALSE,2026-01-30 17:51:45,2026-01-30 17:51:45,null
B673445,P3765,FALSE,2026-01-30 17:51:45,2026-01-30 17:51:45,null
B419552,D63460,FALSE,2026-01-30 17:51:45,2026-01-30 17:51:45,null
B419702,P0870,FALSE,2026-01-30 17:51:48,2026-01-30 17:51:48,null
B720658,P0870,FALSE,2026-01-30 17:51:48,2026-01-30 17:51:48,null
B515640,D50273,FALSE,2026-01-30 17:51:48,2026-01-30 17:51:48,null
B733758,D50273,FALSE,2026-01-30 17:51:48,2026-01-30 17:51:48,null
B734290,P1087,FALSE,2026-01-30 17:51:49,2026-01-30 17:51:49,null
B915335,P1087,FALSE,2026-01-30 17:51:49,2026-01-30 17:51:49,null
B675934,D17135,FALSE,2026-01-30 17:51:49,2026-01-30 17:51:49,null
B564170,D17135,FALSE,2026-01-30 17:51:49,2026-01-30 17:51:49,null
B705434,P4834,FALSE,2026-01-30 17:51:55,2026-01-30 17:51:55,null
B745103,D242343,FALSE,2026-01-30 17:51:55,2026-01-30 17:51:55,null
B655591,P1381,FALSE,2026-01-30 17:51:57,2026-01-30 17:51:57,null
B580308,D221065,FALSE,2026-01-30 17:51:57,2026-01-30 17:51:57,null
B542603,P1104,FALSE,2026-01-30 17:52:16,2026-01-30 17:52:16,null
B635710,P1104,FALSE,2026-01-30 17:52:16,2026-01-30 17:52:16,null
B244756,D76179,FALSE,2026-01-30 17:52:16,2026-01-30 17:52:16,null
B425061,D76179,FALSE,2026-01-30 17:52:16,2026-01-30 17:52:16,null
B747000,D195151,TRUE,2026-01-30 17:52:36,2026-01-30 17:52:36,null
B763986,D195151,TRUE,2026-01-30 17:52:36,2026-01-30 17:52:36,null
B923707,P1846,FALSE,2026-01-30 17:52:43,2026-01-30 17:52:43,null
B831954,P1345,FALSE,2026-01-30 17:53:02,2026-01-30 17:53:02,null
B733646,D167814,FALSE,2026-01-30 17:53:02,2026-01-30 17:53:02,null
B573533,P1345,FALSE,2026-01-30 17:53:02,2026-01-30 17:53:02,2026-01-10 07:17:40
B721923,P1104,FALSE,2026-01-30 17:53:12,2026-01-30 17:53:12,null
B501124,P1104,FALSE,2026-01-30 17:53:12,2026-01-30 17:53:12,null
B742518,D128386,FALSE,2026-01-30 17:53:12,2026-01-30 17:53:12,null
B484794,D128386,FALSE,2026-01-30 17:53:12,2026-01-30 17:53:12,null
B516309,P0891,FALSE,2026-01-30 17:53:54,2026-01-30 17:53:54,null
B737771,P0891,FALSE,2026-01-30 17:53:54,2026-01-30 17:53:54,null
B651315,D163813,FALSE,2026-01-30 17:53:54,2026-01-30 17:53:54,null
B696897,D163813,FALSE,2026-01-30 17:53:54,2026-01-30 17:53:54,null
B528096,P4489,FALSE,2026-01-30 17:54:26,2026-01-30 17:54:26,null
B593452,P4489,FALSE,2026-01-30 17:54:26,2026-01-30 17:54:26,null
B744778,D89593,FALSE,2026-01-30 17:54:26,2026-01-30 17:54:26,null
B581596,D89593,FALSE,2026-01-30 17:54:26,2026-01-30 17:54:26,null
B802642,P4019,FALSE,2026-01-30 17:54:33,2026-01-30 17:54:33,null
B699348,P4019,FALSE,2026-01-30 17:54:33,2026-01-30 17:54:33,null
B729374,D103087,FALSE,2026-01-30 17:54:33,2026-01-30 17:54:33,null
B386908,D103087,FALSE,2026-01-30 17:54:33,2026-01-30 17:54:33,null
B804136,P3618,FALSE,2026-01-30 17:54:40,2026-01-30 17:54:40,null
B656132,P3618,FALSE,2026-01-30 17:54:40,2026-01-30 17:54:40,null
B537094,D195047,FALSE,2026-01-30 17:54:40,2026-01-30 17:54:40,null
B810430,D195047,FALSE,2026-01-30 17:54:40,2026-01-30 17:54:40,null
B479447,P0891,FALSE,2026-01-30 17:55:04,2026-01-30 17:55:04,null
B745167,D196676,TRUE,2026-01-30 17:55:04,2026-01-30 17:55:04,null
B817865,D196676,TRUE,2026-01-30 17:55:04,2026-01-30 17:55:04,null
B505628,P0891,FALSE,2026-01-30 17:55:04,2026-01-30 17:55:04,null
B557019,D196676,FALSE,2026-01-30 17:55:04,2026-01-30 17:55:04,null
B443474,P1345,FALSE,2026-01-30 17:55:18,2026-01-30 17:55:18,null
B719714,P1345,FALSE,2026-01-30 17:55:18,2026-01-30 17:55:18,null
B922403,D6960,FALSE,2026-01-30 17:55:18,2026-01-30 17:55:18,null
B733301,D6960,FALSE,2026-01-30 17:55:18,2026-01-30 17:55:18,null
B641846,P4214,FALSE,2026-01-30 17:55:52,2026-01-30 17:55:52,null
B905767,D206335,FALSE,2026-01-30 17:55:52,2026-01-30 17:55:52,null
B469459,P3618,FALSE,2026-01-30 17:55:57,2026-01-30 17:55:57,null
B762625,D52245,FALSE,2026-01-30 17:55:57,2026-01-30 17:55:57,null
B766120,D52245,FALSE,2026-01-30 17:55:57,2026-01-30 17:55:57,null
B479666,P3618,FALSE,2026-01-30 17:55:57,2026-01-30 17:55:57,null
B804289,P1485,FALSE,2026-01-30 17:55:57,2026-01-30 17:55:57,null
B531887,D32934,FALSE,2026-01-30 17:55:57,2026-01-30 17:55:57,null
B855214,P3543,FALSE,2026-01-30 17:55:58,2026-01-30 17:55:58,null
B820506,D205363,FALSE,2026-01-30 17:55:58,2026-01-30 17:55:58,null
B770121,P3543,FALSE,2026-01-30 17:55:58,2026-01-30 17:55:58,null
B756260,D205363,FALSE,2026-01-30 17:55:58,2026-01-30 17:55:58,null
B861524,P3242,FALSE,2026-01-30 17:56:18,2026-01-30 17:56:18,null
B548010,D32631,FALSE,2026-01-30 17:56:18,2026-01-30 17:56:18,null
B465479,P4834,FALSE,2026-01-30 17:56:22,2026-01-30 17:56:22,null
B773147,D146131,FALSE,2026-01-30 17:56:22,2026-01-30 17:56:22,null
B905559,P4735,FALSE,2026-01-30 17:56:31,2026-01-30 17:56:31,null
B654834,D28874,TRUE,2026-01-30 17:56:31,2026-01-30 17:56:31,null
B693743,D28874,TRUE,2026-01-30 17:56:31,2026-01-30 17:56:31,null
B853923,P4735,FALSE,2026-01-30 17:56:31,2026-01-30 17:56:31,null
B593841,D28874,FALSE,2026-01-30 17:56:31,2026-01-30 17:56:32,null
B230495,D28874,FALSE,2026-01-30 17:56:31,2026-01-30 17:56:32,null
B689630,P1381,FALSE,2026-01-30 17:56:41,2026-01-30 17:56:41,null
B395238,P5331,FALSE,2026-01-30 17:56:42,2026-01-30 17:56:42,null
B59790,P5331,FALSE,2026-01-30 17:56:42,2026-01-30 17:56:42,null
B576697,D86323,FALSE,2026-01-30 17:56:42,2026-01-30 17:56:42,null
B520094,D86323,FALSE,2026-01-30 17:56:42,2026-01-30 17:56:42,null
B581967,P4207,FALSE,2026-01-30 17:56:49,2026-01-30 17:56:49,null
B581771,P4207,FALSE,2026-01-30 17:56:49,2026-01-30 17:56:49,null
B645915,D118784,FALSE,2026-01-30 17:56:49,2026-01-30 17:56:49,null
B644504,D118784,FALSE,2026-01-30 17:56:49,2026-01-30 17:56:49,null
B642389,P1381,FALSE,2026-01-30 17:56:58,2026-01-30 17:56:58,null
B444228,P1702,FALSE,2026-01-30 17:57:21,2026-01-30 17:57:21,null
B475218,P1702,FALSE,2026-01-30 17:57:21,2026-01-30 17:57:21,null
B728506,D188129,FALSE,2026-01-30 17:57:21,2026-01-30 17:57:21,null
B636215,P4735,FALSE,2026-01-30 17:57:23,2026-01-30 17:57:23,null
B649010,D88696,TRUE,2026-01-30 17:57:23,2026-01-30 17:57:23,null
B745179,D88696,TRUE,2026-01-30 17:57:23,2026-01-30 17:57:23,null
B655311,P4735,FALSE,2026-01-30 17:57:23,2026-01-30 17:57:23,null
B544870,D88696,FALSE,2026-01-30 17:57:23,2026-01-30 17:57:23,null
B424303,D88696,FALSE,2026-01-30 17:57:23,2026-01-30 17:57:23,null
B234366,D70302,TRUE,2026-01-30 17:57:36,2026-01-30 17:57:36,null
B547507,D70302,TRUE,2026-01-30 17:57:36,2026-01-30 17:57:37,null
B642478,P1052,FALSE,2026-01-30 17:57:36,2026-01-30 17:57:37,null
B763353,P1052,FALSE,2026-01-30 17:57:37,2026-01-30 17:57:37,null
B822822,D70302,FALSE,2026-01-30 17:57:37,2026-01-30 17:57:37,null
B823572,D70302,FALSE,2026-01-30 17:57:37,2026-01-30 17:57:37,null
B582086,D185241,TRUE,2026-01-30 17:57:59,2026-01-30 17:57:59,null
B745452,D185241,TRUE,2026-01-30 17:57:59,2026-01-30 17:57:59,null
B573030,P4735,FALSE,2026-01-30 17:57:59,2026-01-30 17:57:59,null
B545030,P4735,FALSE,2026-01-30 17:57:59,2026-01-30 17:58:00,null
B853923,D185241,FALSE,2026-01-30 17:58:00,2026-01-30 17:58:00,null
B905559,D185241,FALSE,2026-01-30 17:58:00,2026-01-30 17:58:00,null
B801192,P4214,FALSE,2026-01-30 17:58:00,2026-01-30 17:58:00,null
B803574,P4214,FALSE,2026-01-30 17:58:00,2026-01-30 17:58:00,null
B490276,D136704,FALSE,2026-01-30 17:58:00,2026-01-30 17:58:00,null
B810402,D136704,FALSE,2026-01-30 17:58:00,2026-01-30 17:58:00,null
B762648,P3060,FALSE,2026-01-30 17:58:37,2026-01-30 17:58:37,null
B696919,P3060,FALSE,2026-01-30 17:58:38,2026-01-30 17:58:38,null
B645083,D192925,FALSE,2026-01-30 17:58:38,2026-01-30 17:58:38,null
B646722,D192925,FALSE,2026-01-30 17:58:38,2026-01-30 17:58:38,null
B554000,P4019,FALSE,2026-01-30 17:58:43,2026-01-30 17:58:43,null
B729299,P4019,FALSE,2026-01-30 17:58:43,2026-01-30 17:58:43,null
B555515,D137469,FALSE,2026-01-30 17:58:43,2026-01-30 17:58:43,null
B729675,D137469,FALSE,2026-01-30 17:58:43,2026-01-30 17:58:43,null
B579207,D6981,TRUE,2026-01-30 17:58:45,2026-01-30 17:58:45,null
B810390,D6981,TRUE,2026-01-30 17:58:45,2026-01-30 17:58:45,null
B642388,D6981,FALSE,2026-01-30 17:58:45,2026-01-30 17:58:45,null
B904182,P3888,FALSE,2026-01-30 17:58:45,2026-01-30 17:58:45,null
B650976,D6981,FALSE,2026-01-30 17:58:45,2026-01-30 17:58:45,null
B853609,P3888,FALSE,2026-01-30 17:58:45,2026-01-30 17:58:45,null
B693765,P4489,FALSE,2026-01-30 17:59:02,2026-01-30 17:59:02,null
B738580,P3538,FALSE,2026-01-30 17:59:07,2026-01-30 17:59:07,null
B676265,P3538,FALSE,2026-01-30 17:59:07,2026-01-30 17:59:07,null
B805506,D111820,FALSE,2026-01-30 17:59:07,2026-01-30 17:59:07,null
B808670,D111820,FALSE,2026-01-30 17:59:07,2026-01-30 17:59:07,null
B756260,P3543,FALSE,2026-01-30 17:59:39,2026-01-30 17:59:39,null
B820506,P3543,FALSE,2026-01-30 17:59:39,2026-01-30 17:59:39,null
B855214,P3543,FALSE,2026-01-30 17:59:39,2026-01-30 17:59:39,null
B770121,P3543,FALSE,2026-01-30 17:59:39,2026-01-30 17:59:39,null
B770964,D205363,FALSE,2026-01-30 17:59:39,2026-01-30 17:59:39,null
B906589,D205363,FALSE,2026-01-30 17:59:39,2026-01-30 17:59:39,null
B806469,P4489,FALSE,2026-01-30 17:59:46,2026-01-30 17:59:46,null
B649038,P1485,FALSE,2026-01-30 17:59:54,2026-01-30 17:59:54,null
B696899,D81729,FALSE,2026-01-30 17:59:54,2026-01-30 17:59:54,null
B696218,P4834,FALSE,2026-01-30 17:59:58,2026-01-30 17:59:58,null
B857615,D81691,FALSE,2026-01-30 17:59:58,2026-01-30 17:59:58,null
B746760,P1641,FALSE,2026-01-30 18:00:02,2026-01-30 18:00:02,null
B535139,D182880,TRUE,2026-01-30 18:00:02,2026-01-30 18:00:02,null
B690749,D182880,TRUE,2026-01-30 18:00:02,2026-01-30 18:00:02,null
B648690,P1641,FALSE,2026-01-30 18:00:02,2026-01-30 18:00:02,null
B755441,D182880,FALSE,2026-01-30 18:00:02,2026-01-30 18:00:02,null
B821083,D182880,FALSE,2026-01-30 18:00:02,2026-01-30 18:00:02,null
B619226,P1543,FALSE,2026-01-30 18:00:12,2026-01-30 18:00:12,null
B542787,D165768,FALSE,2026-01-30 18:00:12,2026-01-30 18:00:12,null
B676268,P1543,FALSE,2026-01-30 18:00:12,2026-01-30 18:00:12,null
B580609,D165768,FALSE,2026-01-30 18:00:12,2026-01-30 18:00:12,null
B588136,D71720,TRUE,2026-01-30 18:00:15,2026-01-30 18:00:15,null
B650224,P0337,FALSE,2026-01-30 18:00:15,2026-01-30 18:00:15,null
B646181,P0337,FALSE,2026-01-30 18:00:15,2026-01-30 18:00:15,null
B336737,D71720,FALSE,2026-01-30 18:00:15,2026-01-30 18:00:15,null
B573127,D71720,FALSE,2026-01-30 18:00:15,2026-01-30 18:00:15,null
B644249,D194083,FALSE,2026-01-30 18:00:20,2026-01-30 18:00:20,null
B532420,D194083,FALSE,2026-01-30 18:00:20,2026-01-30 18:00:20,null
B765480,P3060,FALSE,2026-01-30 18:00:20,2026-01-30 18:00:20,null
B705794,P3060,FALSE,2026-01-30 18:00:20,2026-01-30 18:00:20,null
B580670,P1104,FALSE,2026-01-30 18:00:50,2026-01-30 18:00:50,null
B750645,P1104,FALSE,2026-01-30 18:00:50,2026-01-30 18:00:50,null
B808614,D129801,FALSE,2026-01-30 18:00:50,2026-01-30 18:00:50,null
B490610,D129801,FALSE,2026-01-30 18:00:50,2026-01-30 18:00:50,null
B542769,P4007,FALSE,2026-01-30 18:00:57,2026-01-30 18:00:57,null
B853337,D157810,FALSE,2026-01-30 18:00:57,2026-01-30 18:00:57,null
B543021,P4007,FALSE,2026-01-30 18:00:57,2026-01-30 18:00:57,null
B853809,D157810,FALSE,2026-01-30 18:00:57,2026-01-30 18:00:57,null
B766147,P3651,FALSE,2026-01-30 18:00:59,2026-01-30 18:00:59,null
B818178,P3651,FALSE,2026-01-30 18:00:59,2026-01-30 18:00:59,null
B751805,D143166,FALSE,2026-01-30 18:00:59,2026-01-30 18:00:59,null
B491259,D143166,FALSE,2026-01-30 18:00:59,2026-01-30 18:00:59,null
B621594,P4222,FALSE,2026-01-30 18:01:06,2026-01-30 18:01:06,null
B404416,P4222,FALSE,2026-01-30 18:01:06,2026-01-30 18:01:06,null
B410355,D17094,FALSE,2026-01-30 18:01:06,2026-01-30 18:01:07,null
B397110,D17094,FALSE,2026-01-30 18:01:07,2026-01-30 18:01:07,null
B545532,D65112,TRUE,2026-01-30 18:01:09,2026-01-30 18:01:09,null
B690768,P1345,FALSE,2026-01-30 18:01:53,2026-01-30 18:01:53,null
B705354,D231246,FALSE,2026-01-30 18:01:53,2026-01-30 18:01:53,null
B860750,P0891,FALSE,2026-01-30 18:01:57,2026-01-30 18:01:57,null
B772330,D97783,TRUE,2026-01-30 18:01:57,2026-01-30 18:01:57,null
B905401,D97783,TRUE,2026-01-30 18:01:57,2026-01-30 18:01:57,null
B860677,P0891,FALSE,2026-01-30 18:01:57,2026-01-30 18:01:57,null
B516131,D97783,FALSE,2026-01-30 18:01:57,2026-01-30 18:01:57,null
B516350,D97783,FALSE,2026-01-30 18:01:57,2026-01-30 18:01:57,null
B620503,P3945,FALSE,2026-01-30 18:01:59,2026-01-30 18:01:59,null
B661442,P3945,FALSE,2026-01-30 18:01:59,2026-01-30 18:01:59,null
B438052,D120592,FALSE,2026-01-30 18:02:00,2026-01-30 18:02:00,null
B739952,D120592,FALSE,2026-01-30 18:02:00,2026-01-30 18:02:00,null
B691259,P3660,FALSE,2026-01-30 18:02:18,2026-01-30 18:02:18,null
B770368,D231236,FALSE,2026-01-30 18:02:18,2026-01-30 18:02:18,null
B652618,P1485,FALSE,2026-01-30 18:02:44,2026-01-30 18:02:44,null
B694121,D231242,FALSE,2026-01-30 18:02:44,2026-01-30 18:02:44,null
B817665,P4214,FALSE,2026-01-30 18:02:55,2026-01-30 18:02:55,null
B488883,D141396,TRUE,2026-01-30 18:02:55,2026-01-30 18:02:55,null
B836161,D141396,TRUE,2026-01-30 18:02:55,2026-01-30 18:02:55,null
B483741,D141396,FALSE,2026-01-30 18:02:55,2026-01-30 18:02:55,null
B696264,P4214,FALSE,2026-01-30 18:02:55,2026-01-30 18:02:55,null
B488367,D141396,FALSE,2026-01-30 18:02:55,2026-01-30 18:02:55,null
B515637,P3516,FALSE,2026-01-30 18:02:59,2026-01-30 18:02:59,null
B846154,P3516,FALSE,2026-01-30 18:02:59,2026-01-30 18:02:59,null
B579578,P4874,FALSE,2026-01-30 18:03:11,2026-01-30 18:03:11,null
B532480,P4874,FALSE,2026-01-30 18:03:11,2026-01-30 18:03:11,null
B537753,D115850,FALSE,2026-01-30 18:03:11,2026-01-30 18:03:11,null
B490487,D115850,FALSE,2026-01-30 18:03:11,2026-01-30 18:03:11,null
B694121,P1485,FALSE,2026-01-30 18:03:20,2026-01-30 18:03:20,null
B652618,D231253,FALSE,2026-01-30 18:03:20,2026-01-30 18:03:20,null
B667319,D14191,FALSE,2026-01-30 18:03:28,2026-01-30 18:03:28,null
B516018,P3660,FALSE,2026-01-30 18:03:39,2026-01-30 18:03:39,null
B516196,D169924,FALSE,2026-01-30 18:03:39,2026-01-30 18:03:39,null
B897515,P1485,FALSE,2026-01-30 18:03:56,2026-01-30 18:03:56,null
B492164,D231344,FALSE,2026-01-30 18:03:56,2026-01-30 18:03:56,null
B691116,P3969,FALSE,2026-01-30 18:04:15,2026-01-30 18:04:15,null
B543981,D106207,FALSE,2026-01-30 18:04:15,2026-01-30 18:04:15,null
B692510,P3969,FALSE,2026-01-30 18:04:15,2026-01-30 18:04:15,null
B558183,D106207,FALSE,2026-01-30 18:04:15,2026-01-30 18:04:15,null
B635582,P4834,FALSE,2026-01-30 18:04:22,2026-01-30 18:04:22,null
B696218,D231685,FALSE,2026-01-30 18:04:22,2026-01-30 18:04:22,null
B734616,P4207,FALSE,2026-01-30 18:04:53,2026-01-30 18:04:53,null
B459821,P4207,FALSE,2026-01-30 18:04:53,2026-01-30 18:04:53,null
B769844,D157954,FALSE,2026-01-30 18:04:53,2026-01-30 18:04:53,null
B769307,D157954,FALSE,2026-01-30 18:04:53,2026-01-30 18:04:53,null
B618979,P3242,FALSE,2026-01-30 18:04:59,2026-01-30 18:04:59,null
B824420,D81591,FALSE,2026-01-30 18:04:59,2026-01-30 18:04:59,null
B189370,P2057,FALSE,2026-01-30 18:05:02,2026-01-30 18:05:02,null
B495574,P2057,FALSE,2026-01-30 18:05:02,2026-01-30 18:05:02,null
B806570,D194018,FALSE,2026-01-30 18:05:02,2026-01-30 18:05:02,null
B491375,D194018,FALSE,2026-01-30 18:05:02,2026-01-30 18:05:02,null
B687310,P3618,FALSE,2026-01-30 18:05:14,2026-01-30 18:05:14,null
B653352,P3618,FALSE,2026-01-30 18:05:14,2026-01-30 18:05:14,null
B642129,D101507,FALSE,2026-01-30 18:05:14,2026-01-30 18:05:14,null
B652227,D101507,FALSE,2026-01-30 18:05:14,2026-01-30 18:05:14,null
B740517,P4007,FALSE,2026-01-30 18:05:17,2026-01-30 18:05:17,null
B290367,D117675,FALSE,2026-01-30 18:05:17,2026-01-30 18:05:17,null
B667571,P4007,FALSE,2026-01-30 18:05:17,2026-01-30 18:05:17,null
B593977,D117675,FALSE,2026-01-30 18:05:17,2026-01-30 18:05:17,null
B745452,P4735,FALSE,2026-01-30 18:05:35,2026-01-30 18:05:35,null
B853923,D185241,TRUE,2026-01-30 18:05:35,2026-01-30 18:05:35,null
B905559,D185241,TRUE,2026-01-30 18:05:35,2026-01-30 18:05:35,null
